name_en,name_ar,industry_code,website,careers_url,careers_url_ar,linkedin_url,notes
King Abdullah Economic City (KAEC),مدينة الملك عبدالله الاقتصادية,real_estate,https://www.kaec.net,,,https://www.linkedin.com/company/kingabdullaheconomiccity/,Megaproject
Public Investment Fund (PIF),صندوق الاستثمارات العامة,investment,https://www.pif.gov.sa,,,https://www.linkedin.com/company/public-investment-fund/,Sovereign wealth fund
SOUDAH Development,تطوير السودة,hospitality,https://www.soudahdevelopment.com,,,https://www.linkedin.com/company/soudah-development/,PIF megaproject
NHC (National Housing Co),الإسكان الوطنية,real_estate,https://www.nhc.sa,https://www.nhc.sa/careers,,https://www.linkedin.com/company/national-housing-co/,Housing
ROSHN — King Salman Park,حدائق الملك سلمان,real_estate,,,,https://www.linkedin.com/company/king-salman-park-foundation/,PIF megaproject
THIQAH Business Services,ثقة لخدمات الأعمال,tech_software,https://www.thiqah.sa,https://careers.thiqah.sa/,,https://www.linkedin.com/company/thiqah/,Government digital services
Elm,علم,tech_software,https://www.elm.sa,https://elm.sa/ar/recruitment/sectors/Pages/default.aspx,,https://www.linkedin.com/company/elm-company/,Gov-tech
# --- Healthcare / Hospitals -----------------------------------------------
King Faisal Specialist Hospital and Research Centre,مستشفى الملك فيصل التخصصي,healthcare,https://www.kfshrc.edu.sa,https://www.kfshrc.edu.sa/en/careers,,https://www.linkedin.com/company/kfshrc/,KFSH&RC
Dr Sulaiman Al Habib Medical Group,مجموعة الدكتور سليمان الحبيب الطبية,healthcare,https://www.hmg.com,,,https://www.linkedin.com/company/drsulaiman-al-habib-medical-group/,Healthcare
Mouwasat Medical Services,المواساة للخدمات الطبية,healthcare,https://www.mouwasat.com,https://www.mouwasat.com/en/careers,,https://www.linkedin.com/company/mouwasat-medical-services/,Healthcare
Saudi German Hospital,المستشفى السعودي الألماني,healthcare,https://www.sghgroup.com.sa,,,https://www.linkedin.com/company/saudi-german-hospitals/,Hospital
Kingdom Hospital,مستشفى المملكة,healthcare,https://www.kingdomhospital.com.sa,,,https://www.linkedin.com/company/kingdom-hospital/,Hospital
Habib Medical Service,خدمة الحبيب الطبية,healthcare,https://www.hmg.com.sa,,,,Hospital
Magrabi Hospitals,مستشفيات مغربي,healthcare,https://www.magrabihospitals.com,,,https://www.linkedin.com/company/magrabi-hospitals/,Hospital
Andalusia Hospital,مستشفى الأندلسية,healthcare,https://www.andalusiagroup.net,https://www.andalusiagroup.net/careers,,https://www.linkedin.com/company/andalusia-group/,Hospital
Specialized Medical Center,المركز الطبي التخصصي,healthcare,https://www.smc.sa,,,,Hospital
Al Hammadi Hospital,مستشفى الحمادي,healthcare,https://www.alhammadihospital.com.sa,,,https://www.linkedin.com/company/al-hammadi-hospital/,Hospital
King Fahad Medical City,مدينة الملك فهد الطبية,healthcare,https://www.kfmc.med.sa,https://vacancy.kfmc.med.sa/EN/Vacancies.aspx,,https://www.linkedin.com/company/king-fahad-medical-city/,Gov hospital
King Saud Medical City,مدينة الملك سعود الطبية,healthcare,https://ksmc.med.sa,,,,Gov hospital
Prince Sultan Military Medical City,مدينة الأمير سلطان الطبية العسكرية,healthcare,https://psmmc.med.sa,,,https://www.linkedin.com/company/prince-sultan-military-medical-city/,Military medical
King Khaled Eye Specialist Hospital,مستشفى الملك خالد التخصصي للعيون,healthcare,https://www.kkesh.med.sa,https://kkesh.med.sa/careers,,https://www.linkedin.com/company/king-khaled-eye-specialist-hospital/,Gov hospital
Security Forces Hospital,مستشفى قوى الأمن,healthcare,https://sfh.med.sa,,,,Gov hospital
Dallah Healthcare,دلة الصحية,healthcare,https://www.dallah-hospital.com,,,https://www.linkedin.com/company/dallah-healthcare/,TASI healthcare
SEHA Virtual Hospital,مستشفى صحة الافتراضي,healthcare,https://seha.sa,https://seha.sa/careers,,https://www.linkedin.com/company/seha-virtual-hospital/,Gov virtual hospital
National Unified Procurement Co (NUPCO),نوبكو,healthcare,https://www.nupco.com,,,https://www.linkedin.com/company/nupco/,Medical procurement
# --- Private hospitals / medical complexes (additional) --------------------
Fakeeh Care Group,مجموعة فقيه الطبية,healthcare,https://en.fakeeh.care,https://careers.fakeeh.care/,,,Private hospital group
International Medical Center (IMC),المركز الطبي الدولي,healthcare,https://www.imc.med.sa/en/,https://www.imc.med.sa/career,,,Private hospital
Almoosa Health,الموسى الصحية,healthcare,https://almoosahealthgroup.org,,,,Private hospital group
Almana Hospitals,مستشفيات المانع,healthcare,https://www.almanahospital.com.sa/,https://www.almanahospital.com.sa/en/careers,,,Private hospital group
Abeer Medical Group,مجموعة أبر الطبية,healthcare,https://www.abeergroup.com/ksa/index.aspx,https://www.abeergroup.com/ksa/career.aspx,,,Medical group
Hayat National Hospitals,مستشفيات الحياة الوطني,healthcare,https://hayathospitals.com/en/,,,,Private hospital group
Care Medical,رعاية الطبية,healthcare,https://care.med.sa/en,,,,Private healthcare TASI
Ram Clinics,عيادات رام,healthcare,https://ramclinics.net?lang=en,https://ramclinics.net/careers?lang=en,,,Medical clinics
My Clinic,ماي كلينك,healthcare,https://www.myclinic.com.sa,https://www.myclinic.com.sa/careers,,,Medical clinics
Remain Medical Group,مجموعة ريمين الطبية,healthcare,https://remain.com.sa,https://remain.com.sa/career/,,,Medical clinics
Derma Clinic,عيادات ديرما,healthcare,https://derma-clinic.com,,,,Medical clinics
SPIMACO,سبيماكو,pharma,https://www.spimaco.com.sa,https://www.spimaco.com.sa/jobs,,https://www.linkedin.com/company/spimaco/,Pharma TASI
Tabuk Pharmaceuticals,تبوك للصناعات الدوائية,pharma,https://www.tabukpharma.com,,,https://www.linkedin.com/company/tabuk-pharmaceuticals/,Pharma
Jamjoom Pharma,جمجوم فارما,pharma,https://www.jamjoompharma.com,https://www.jamjoompharma.com/careers,,https://www.linkedin.com/company/jamjoom-pharma/,Pharma
Sehat-i (SAMA Healthcare),صحتي,healthcare,,,,,
# --- Education ------------------------------------------------------------
King Abdullah University of Science and Technology,جامعة الملك عبدالله للعلوم والتقنية,education,https://www.kaust.edu.sa,https://careers.kaust.edu.sa/,,https://www.linkedin.com/company/kaust/,University
King Saud University,جامعة الملك سعود,education,https://www.ksu.edu.sa,https://dfpa.ksu.edu.sa/ar/jobs,,,University
King Abdulaziz University,جامعة الملك عبدالعزيز,education,https://www.kau.edu.sa,https://www.kau.edu.sa/en/page/employment,,,University
King Fahd University of Petroleum and Minerals (KFUPM),جامعة الملك فهد للبترول والمعادن,education,https://www.kfupm.edu.sa,https://www.kfupm.edu.sa/about-us/connect/careers,,https://www.linkedin.com/company/kfupm/,University
Misk Foundation,مؤسسة مسك,education,https://www.misk.org.sa,https://misk.org.sa/careers,,https://www.linkedin.com/company/misk-foundation/,Education / Misk Academy
Prince Sultan University,جامعة الأمير سلطان,education,https://www.psu.edu.sa,https://www.psu.edu.sa/en/career,,https://www.linkedin.com/company/prince-sultan-university/,University
Alfaisal University,جامعة الفيصل,education,https://www.alfaisal.edu,https://jobs.alfaisal.edu/,,https://www.linkedin.com/company/alfaisal-university/,University
Effat University,جامعة عفت,education,https://www.effatuniversity.edu.sa,,,https://www.linkedin.com/company/effat-university/,University
Tatweer Education Holding Co,تطوير القابضة للتعليم,education,https://www.tatweer.edu.sa,,,https://www.linkedin.com/company/tatweerhc/,MOE-linked
ATAA Educational Services,عطاء للخدمات التعليمية,education,https://www.ataaedu.com,,,https://www.linkedin.com/company/ataa-educational-services/,TASI education
# --- Private universities / colleges / academies --------------------------
Dar Al Uloom University,جامعة دار العلوم,education,https://dau.edu.sa/en/,,,,Private university
University of Business and Technology (UBT),جامعة الأعمال والتكنولوجيا,education,https://www.ubt.edu.sa,,,,Private university
Dar Al-Hekma University,جامعة دار الحكمة,education,https://www.dah.edu.sa/en/,,,,Private university
Al Yamamah University,جامعة اليمامة,education,https://yu.edu.sa,,,,Private university
Almaarefa University,جامعة المعرفة,education,https://www.um.edu.sa/en/,,,,Private university
Prince Mohammad Bin Fahd University,جامعة الأمير محمد بن فهد,education,https://www.pmu.edu.sa,https://www.pmu.edu.sa/hr/,,,Private university
Batterjee Medical College,كلية البترجي الطبية,education,https://www.bmc.edu.sa,https://careers.bmc.edu.sa/jobs/Careers,,,Private medical college
Riyadh Elm University,جامعة رياض العلم,education,https://riyadh.edu.sa,,,,Private university
Tuwaiq Academy,أكاديمية طويق,education,https://tuwaiq.edu.sa,,,,Technology academy
Saudi Digital Academy,الأكاديمية السعودية الرقمية,education,https://sda.edu.sa,,,,Digital skills academy
National Information Technology Academy (NITA),الأكاديمية الوطنية لتقنية المعلومات,education,https://nita.edu.sa,,,,Technology institute
National Industrial Training Institute (NITI),المعهد الوطني للتدريب الصناعي,education,https://niti.edu.sa,,,,Industrial training institute
Saudi Petroleum Services Polytechnic (SPSP),المعهد التقني السعودي لخدمات البترول,education,https://www.spsp.edu.sa,,,,Oil and gas training institute
Tayaran National Aviation Academy,أكاديمية الطيران الوطنية,education,https://tayaran.edu.sa,https://tayaran.edu.sa/jobs,,,Aviation academy
# --- Private schools / international schools ------------------------------
Misk Schools,مدارس مسك,education,https://www.miskschools.edu.sa,https://www.miskschools.edu.sa/careers,,,Private school
Kingdom Schools,مدارس المملكة,education,https://kingdomschools.edu.sa,,,,Private school
Riyadh Schools Group,مجموعة مدارس الرياض,education,https://rsg.edu.sa/rsn/,,,,Private school group
Advanced Learning Schools,مدارس التعلم المتقدم,education,https://alsschools.edu.sa,https://alsschools.edu.sa/career/,,,Private school
British International School Riyadh,المدرسة البريطانية الدولية بالرياض,education,https://www.bisr.com.sa,https://www.bisr.com.sa/employment/vacancies,,,International school
American International School Riyadh,المدرسة الأمريكية الدولية بالرياض,education,https://www.aisr.org,,,,International school
Jeddah Knowledge International School,مدارس جدة نولدج العالمية,education,https://www.jks.edu.sa,https://www.jks.edu.sa/recruitment/,,,International school
British International School of Jeddah,المدرسة البريطانية الدولية بجدة,education,https://www.continental-school.com,,,,International school
Al Forsan International Schools,مدارس الفرسان العالمية,education,https://www.fis.sch.sa,,,,International school group
King's College Riyadh,كلية الملك بالرياض,education,https://kingscollegeriyadh.com,https://kingscollegeriyadh.com/careers/,,,International school
German International School Riyadh,المدرسة الألمانية الدولية بالرياض,education,https://disr.edu.sa,https://disr.edu.sa/en/careers/,,,International school
SEK International School Riyadh,مدرسة إس إي كيه الدولية بالرياض,education,https://sek.sa,https://sek.sa/work-with-us/,,,International school
Downe House Riyadh,داون هاوس الرياض,education,https://downehouseriyadh.com,https://downehouseriyadh.com/careers/,,,International school
Beech Hall School Riyadh,مدرسة بيتش هول الرياض,education,https://beechhallschoolriyadh.com,https://beechhallschoolriyadh.com/community/careers/,,,International school
KAF Academy International Schools,مدارس كاف العالمية,education,https://kaf.edu.sa,https://kaf.edu.sa/careers/,,,International school group
DOME International Schools,مدارس دوم العالمية,education,https://dome.edu.sa,https://dome.edu.sa/about-us/careers/,,,International school
The Learning Caravan International School,مدرسة ذا ليرنينغ كارافان العالمية,education,https://www.tlc-riyadh.com,https://www.tlc-riyadh.com/careers/,,,International school
Tadrees Holding,تدريس القابضة,education,https://tadreesholding.com,,,,Private school operator
# --- Food & Beverage / Hospitality / Retail -------------------------------
Almarai,المراعي,food_beverage,https://www.almarai.com,https://www.almarai.com/ar/careers,,https://www.linkedin.com/company/almarai/,Largest dairy
Savola Group,صافولا,food_beverage,https://www.savola.com,https://fa-ewxl-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,,https://www.linkedin.com/company/savola-group/,F&B holding
Panda Retail Company,أسواق بنده,retail,https://www.panda.com.sa,,,https://www.linkedin.com/company/panda-retail-company/,Retail
Herfy,هرفي,food_beverage,https://www.herfy.com,https://herfy.com/careers,,https://www.linkedin.com/company/herfy-food-services-co/,QSR
Kudu,كودو,food_beverage,https://www.kudu.com.sa,https://www.kudu.com.sa/careers,,https://www.linkedin.com/company/kudu/,QSR
SADAFCO,سدافكو,food_beverage,https://www.sadafco.com,https://www.sadafco.com/careers/working-at-sadafco,,https://www.linkedin.com/company/sadafco/,Dairy TASI
Halwani Bros,حلواني إخوان,food_beverage,https://www.halwanibros.com,,,https://www.linkedin.com/company/halwani-bros-co/,F&B
BinDawood Holding,بن داود القابضة,retail,https://www.bindawoodholding.com,https://www.bindawoodholding.com/careers,,https://www.linkedin.com/company/bindawood-holding/,Grocery TASI
Cenomi Centers,سينومي للمراكز,real_estate,https://www.cenomicenters.com,https://centers.cenomi.com/sa-en/careers,,https://www.linkedin.com/company/cenomi-centers/,Mall operator
Cenomi Retail,سينومي للتجزئة,retail,https://www.cenomiretail.com,https://www.cenomiretail.com/careers,,https://www.linkedin.com/company/cenomi-retail/,Fashion retail
eXtra (United Electronics),إكسترا,retail,https://www.extra.com,,,https://www.linkedin.com/company/united-electronics-company-extra/,Electronics retail
Jarir Marketing Co,جرير,retail,https://www.jarir.com,,,https://www.linkedin.com/company/jarir-bookstore/,Bookstore + electronics
Lulu Hypermarket Saudi Arabia,لولو السعودية,retail,https://www.luluhypermarket.com,,,https://www.linkedin.com/company/lulu-group-international/,Hypermarket
Othaim Markets,أسواق العثيم,retail,https://www.othaimmarkets.com,https://www.othaimmarkets.com/ar/about-us/careers,,https://www.linkedin.com/company/abdullah-al-othaim-markets-co/,Grocery TASI
Tamimi Markets,أسواق التميمي,retail,https://www.tamimimarkets.com,https://www.tamimimarkets.com/Careers,,https://www.linkedin.com/company/tamimi-markets/,Grocery
Dur Hospitality,دور الضيافة,hospitality,https://www.dur.sa,,,https://www.linkedin.com/company/dur-hospitality/,Hotels TASI
Al Hokair Group,مجموعة الحكير,hospitality,https://www.alhokair.com,,,https://www.linkedin.com/company/al-hokair-group/,Hospitality TASI
Carrefour Saudi Arabia,كارفور السعودية,retail,https://www.carrefourksa.com,,,https://www.linkedin.com/company/majid-al-futtaim/,Multinational retail
IKEA Saudi Arabia,إيكيا السعودية,retail,https://www.ikea.com/sa,https://www.ikea.com/sa/en/this-is-ikea/work-with-us/,,https://www.linkedin.com/company/ikea/,Multinational retail
McDonald's Saudi Arabia,ماكدونالدز السعودية,food_beverage,https://www.mcdonaldsarabia.com,,,https://www.linkedin.com/company/mcdonalds-corporation/,QSR multinational
Americana Restaurants,أمريكانا للمطاعم,food_beverage,https://www.americana-restaurants.com,https://www.americana-restaurants.com/careers,,https://www.linkedin.com/company/americana-restaurants/,"QSR (KFC, Pizza Hut, Hardee's KSA)"
Starbucks Saudi Arabia (Alshaya),ستاربكس السعودية,food_beverage,https://www.starbucks.com/sa,,,https://www.linkedin.com/company/starbucks/,Alshaya operated
Costa Coffee Saudi Arabia,كوستا كوفي السعودية,food_beverage,https://www.costa.com.sa,,,,Alshaya operated
Hilton Saudi Arabia,هيلتون السعودية,hospitality,https://www.hilton.com,,,https://www.linkedin.com/company/hilton/,Hotel chain
Marriott Saudi Arabia,ماريوت السعودية,hospitality,https://www.marriott.com,https://careers.marriott.com/,,https://www.linkedin.com/company/marriott-international/,Hotel chain
Accor Saudi Arabia,أكور السعودية,hospitality,https://group.accor.com,https://careers.accor.com/global/en,,https://www.linkedin.com/company/accor/,Hotel chain
IHG Hotels Saudi Arabia,آي إتش جي السعودية,hospitality,https://www.ihg.com,,,https://www.linkedin.com/company/ihg/,Hotel chain
Rotana,روتانا,hospitality,https://www.rotana.com,,,https://www.linkedin.com/company/rotana-hotel-management-corporation-ltd/,Hotel chain
Four Seasons Saudi Arabia,فور سيزونز السعودية,hospitality,https://www.fourseasons.com,,,https://www.linkedin.com/company/four-seasons-hotels-and-resorts/,Hotel chain
# --- Construction / Engineering / Cement ----------------------------------
Saudi Binladin Group,مجموعة بن لادن السعودية,construction,https://www.sbg.com.sa,https://www.sbg.com.sa/careers,,https://www.linkedin.com/company/saudi-binladin-group/,Construction
Nesma,نسما,construction,https://www.nesma.com,https://www.nesma.com/en/careers,,https://www.linkedin.com/company/nesma/,Construction
Almabani General Contractors,المعبني للمقاولات العامة,construction,https://www.almabani.com,https://www.almabani.com/careers,,https://www.linkedin.com/company/almabani-general-contractors/,Construction
Saudi Aramco Total Refining and Petrochemical Co (SATORP),ساتورب,oil_gas,https://www.satorp.com,,,https://www.linkedin.com/company/satorp/,Refining JV
Petrofac KSA,بتروفاك السعودية,construction,https://www.petrofac.com,https://petrofac.referrals.selectminds.com/,,https://www.linkedin.com/company/petrofac/,Oil services + construction
AECOM Saudi Arabia,إيكوم السعودية,construction,https://www.aecom.com,https://aecom.com/careers,,https://www.linkedin.com/company/aecom/,Engineering multinational
Jacobs Saudi Arabia,جاكوبس السعودية,construction,https://www.jacobs.com,https://www.jacobs.com/careers-jacobs,,https://www.linkedin.com/company/jacobs/,Engineering multinational
Bechtel Saudi Arabia,بكتل السعودية,construction,https://www.bechtel.com,https://www.bechtel.com/careers,,https://www.linkedin.com/company/bechtel/,Engineering multinational
Hill International KSA,هل إنترناشيونال,construction,https://www.hillintl.com,https://hcib.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,,https://www.linkedin.com/company/hill-international-inc-/,PM consultancy
Parsons KSA,بارسونز السعودية,construction,https://www.parsons.com,https://www.parsons.com/careers/,,https://www.linkedin.com/company/parsons-corporation/,Engineering multinational
WSP Saudi Arabia,دبليو إس بي,construction,https://www.wsp.com,,,https://www.linkedin.com/company/wsp/,Engineering multinational
Worley Saudi Arabia,وورلي السعودية,construction,https://www.worley.com,https://www.worley.com/en/careers/your-global-career,,https://www.linkedin.com/company/worley/,Oil & gas engineering
Saudi Cement,أسمنت السعودية,cement,https://www.saudicement.com.sa,,,,Cement TASI
Yamama Cement,أسمنت اليمامة,cement,https://www.yamamacement.com,https://www.yamamacement.com/ar/Careers,,,Cement TASI
Yanbu Cement,أسمنت ينبع,cement,https://www.yanbucement.com.sa,,,,Cement TASI
Eastern Province Cement,أسمنت المنطقة الشرقية,cement,https://www.eastcement.com,https://www.eastcement.com/careers,,,Cement TASI
